50.00,22.00,115.00,65.00,143.00,485.00
51.00,21.00,115.00,65.00,143.00,486.00
50.00,22.00,115.00,65.00,143.00,486.00
51.00,21.00,115.00,66.00,143.00,486.00
50.00,21.00,115.00,66.00,143.00,486.00
50.00,21.00,115.00,65.00,143.00,486.00
51.00,21.00,115.00,65.00,144.00,485.00
51.00,21.00,114.00,66.00,144.00,485.00
50.00,21.00,114.00,65.00,144.00,485.00
51.00,21.00,114.00,65.00,144.00,485.00
51.00,21.00,115.00,65.00,143.00,486.00
50.00,21.00,114.00,65.00,144.00,485.00
51.00,21.00,115.00,65.00,144.00,486.00
50.00,21.00,116.00,65.00,144.00,485.00
51.00,21.00,115.00,65.00,143.00,485.00
50.00,21.00,115.00,65.00,143.00,485.00
51.00,21.00,115.00,65.00,144.00,485.00
51.00,21.00,115.00,65.00,143.00,485.00
51.00,21.00,115.00,65.00,143.00,485.00
48.00,10.00,110.00,52.00,128.00,480.00
48.00,10.00,110.00,52.00,128.00,480.00
48.00,10.00,111.00,52.00,128.00,479.00
47.00,10.00,110.00,52.00,127.00,480.00
48.00,10.00,110.00,52.00,127.00,480.00
48.00,10.00,110.00,52.00,128.00,479.00
47.00,10.00,110.00,53.00,128.00,480.00
48.00,10.00,111.00,53.00,128.00,479.00
48.00,10.00,111.00,52.00,128.00,480.00
48.00,10.00,111.00,52.00,128.00,480.00
48.00,9.00,154.00,52.00,128.00,480.00
48.00,9.00,326.00,52.00,127.00,475.00
48.00,9.00,358.00,52.00,126.00,473.00
48.00,8.00,512.00,52.00,128.00,472.00
48.00,8.00,582.00,52.00,128.00,470.00
47.00,10.00,112.00,52.00,124.00,479.00
47.00,10.00,156.00,52.00,124.00,479.00
48.00,8.00,535.00,52.00,127.00,471.00
48.00,8.00,621.00,53.00,127.00,470.00
48.00,8.00,609.00,52.00,127.00,470.00
48.00,8.00,687.00,52.00,128.00,469.00
48.00,10.00,325.00,52.00,121.00,475.00
48.00,9.00,562.00,52.00,128.00,471.00
48.00,8.00,481.00,52.00,124.00,473.00
48.00,8.00,501.00,52.00,126.00,472.00
47.00,10.00,112.00,51.00,121.00,479.00
48.00,9.00,327.00,52.00,123.00,475.00
48.00,10.00,317.00,51.00,123.00,476.00
48.00,8.00,509.00,51.00,126.00,472.00
48.00,8.00,426.00,51.00,124.00,475.00
48.00,9.00,458.00,51.00,125.00,474.00
48.00,10.00,264.00,51.00,122.00,476.00
48.00,10.00,328.00,52.00,125.00,475.00
48.00,9.00,496.00,52.00,124.00,472.00
48.00,10.00,113.00,51.00,121.00,479.00
48.00,10.00,142.00,51.00,121.00,478.00
48.00,10.00,172.00,51.00,124.00,479.00
49.00,10.00,199.00,52.00,124.00,478.00
49.00,10.00,238.00,52.00,123.00,476.00
49.00,10.00,256.00,52.00,124.00,476.00
48.00,10.00,270.00,52.00,123.00,476.00
49.00,10.00,316.00,52.00,124.00,475.00
48.00,10.00,351.00,52.00,124.00,475.00
49.00,10.00,370.00,52.00,125.00,475.00
48.00,10.00,377.00,52.00,124.00,474.00
48.00,9.00,403.00,52.00,125.00,474.00
